"contact_id","days_since_last_purchase","order_num","total_sales","product_num","active_days"
"46793426",105,6,421.52,6,259
"18426932",364,1,34.35,2,0
"30609431",364,1,149.95,2,0
"26762879",364,1,45.95,1,0
"36467498",364,1,36.9,2,0
"40417982",364,1,14.95,1,0
"31200789",364,1,36.72,1,0
"46678176",361,2,124.92,2,3
"28608006",23,2,258.15,7,341
"43224100",13,2,313.8,3,351
"43448955",364,1,89.95,1,0
"4092656",364,1,222.99,2,0
"16658696",364,1,21.95,1,0
"38408349",364,1,5.95,1,0
"17393940",263,4,538.72,6,101
"46747231",356,2,72.85,3,8
"23865437",364,1,36.91,2,0
"9012907",364,1,25.95,1,0
"20305839",364,1,73.95,1,0
"3149524",364,1,58.73,3,0
"16029779",364,1,29.95,1,0
"10076901",50,3,163.85,3,314
"21805281",364,1,57.9,2,0
"1601775",173,2,375.27,2,191
"35734671",364,1,28.9,1,0
"1838956",338,2,300.91,2,26
"37966605",364,1,74.85,2,0
"47336690",364,1,29.95,1,0
"26186958",215,2,40.85,1,149
"33117122",364,1,76.9,2,0
"21593037",364,1,27.9,1,0
"10875462",106,2,67.85,3,258
"9748574",157,2,564.83,2,207
"32635458",103,4,278.51,5,261
"24804607",364,1,179.9,2,0
"27848147",364,1,36.88,1,0
"34029190",364,1,24.95,1,0
"21429351",364,1,129.95,1,0
"14161929",364,1,76.95,1,0
"4030151",364,1,31.9,1,0
"43320306",364,1,94.95,1,0
"20685595",324,2,103.6,2,40
"37338517",185,2,169.64,4,179
"27801113",364,1,599.75,2,0
"15603061",20,3,174.9,3,344
"17454226",364,1,39.95,1,0
"41370523",364,1,89.95,1,0
"48644134",364,1,137.95,1,0
"40589221",364,1,98.95,1,0
"17441189",364,1,47.95,1,0
"19957570",364,1,29.9,1,0
"23653126",364,1,82.55,1,0
"48357836",364,1,109.95,1,0
"20357612",364,1,17.95,1,0
"20979385",364,1,198.09,3,0
"34677023",364,1,15.95,1,0
"27946735",0,726,56974.4,446,364
"49398836",23,2,199.8,4,341
"20576725",364,1,94.95,1,0
"2368418",67,6,187.7,6,297
"48105861",364,1,129.95,1,0
"45023280",364,1,107.95,1,0
"39295652",364,1,79.95,1,0
"33390399",364,1,38.95,1,0
"15984002",364,1,24.95,1,0
"40530384",179,2,136.8,3,185
"6760630",313,2,30.5,2,51
"22303709",364,1,149.95,2,0
"48689299",364,1,24.95,1,0
"43933300",100,2,123.8,4,264
"15874917",312,3,599.85,3,52
"27751459",364,1,25.95,1,0
"34628612",364,1,14.95,1,0
"16823878",364,1,144.95,2,0
"11638589",364,1,79.95,1,0
"5980754",305,2,124.9,2,59
"14557253",353,4,268.7,6,11
"22077076",364,1,114.95,1,0
"47052073",364,1,897.6,1,0
"11249300",303,3,35.85,2,61
"11986786",364,1,29.95,1,0
"29067788",364,1,31.47,1,0
"12306861",141,6,175.06,7,223
"11695480",364,1,27.95,1,0
"20482013",364,1,39.95,1,0
"19395740",364,1,38.85,1,0
"29899792",364,1,29.95,1,0
"34580646",364,1,19.5,1,0
"30666845",276,4,200.62,5,88
"45773726",364,1,29.95,1,0
"9272434",257,4,295.1,6,107
"9757905",364,2,29.9,2,0
"25269996",49,7,294.7,7,315
"33251930",364,1,287.16,1,0
"24029540",364,1,17.96,1,0
"27185101",364,1,244.96,1,0
"43124976",364,1,169.9,2,0
"24587047",28,5,756.53,6,336
"28032857",364,1,54.54,1,0
"4827367",364,1,59.95,1,0
"44329441",339,3,215.85,4,25
"7837970",364,1,27.95,1,0
"38376741",364,1,39.96,1,0
"37810831",364,1,59.95,1,0
"23358880",364,1,14.45,1,0
"19284807",364,1,79.96,1,0
"40390035",364,1,29.95,1,0
"41682406",364,1,169.95,1,0
"16912517",364,1,155.95,1,0
"3481824",322,4,268.55,6,42
"33981319",364,1,69.95,1,0
"39682167",364,1,49.9,1,0
"27895724",364,1,41.95,1,0
"25993354",364,1,51.95,1,0
"30377376",47,4,150.78,6,317
"5856030",364,1,129.95,2,0
"44811598",364,1,29.95,1,0
"38256023",364,1,14.95,1,0
"46432144",364,1,59.95,1,0
"31454093",364,1,67.9,1,0
"30442981",364,1,14.95,1,0
"35426731",273,4,116.65,6,91
"7889024",221,2,90.9,2,143
"13824550",3,4,117.75,7,361
"49618363",364,1,49.95,1,0
"34031915",206,2,79.9,2,158
"4280841",364,1,129.95,1,0
"821284",364,1,29.95,1,0
"42829288",364,1,28.95,1,0
"38125006",364,1,45.9,1,0
"15893097",58,8,210.65,8,306
"36387573",364,1,37.95,1,0
"43073553",364,1,175.95,1,0
"432654",131,5,218.2,5,233
"7180183",364,1,89.96,1,0
"39370653",76,4,1417.6,6,288
"43647107",364,1,149.9,2,0
"47681072",335,5,416.65,6,29
"10562830",51,4,129.75,4,313
"13357473",364,1,76.9,2,0
"23765991",364,1,29.95,1,0
"27648484",364,1,20.97,1,0
"46340922",364,1,219.96,2,0
"4429357",10,2,62.9,2,354
"40716997",364,1,29.95,1,0
"16172662",364,1,99.81,3,0
"18448915",188,3,178.85,3,176
"25833908",364,1,49.95,1,0
"48751655",8,693,28414.19,65,356
"15728032",110,4,200.14,5,254
"5001663",364,1,34.95,1,0
"4202533",364,1,59.95,1,0
"46245797",267,2,129.85,3,97
"17808647",364,1,163.95,1,0
"38567747",364,1,32.95,1,0
"26476594",15,5,97.45,5,349
"36847278",318,2,96.9,2,46
"30880874",35,3,131.8,3,329
"7885739",364,1,29.95,1,0
"19746768",364,1,99.95,1,0
"19805599",364,1,54.95,1,0
"10834155",364,1,95.42,2,0
"48710048",364,1,29.95,1,0
"17035957",364,1,17.95,1,0
"4992591",364,1,77.95,1,0
"39647291",259,3,136.7,6,105
"25790717",364,1,60.25,1,0
"19397257",364,2,54.32,2,0
"8359614",364,1,21.95,1,0
"34863197",364,1,116.96,1,0
"20565165",364,1,107.06,1,0
"8181444",364,1,33.95,1,0
"37092698",364,2,57.9,1,0
"31009602",364,1,244.96,1,0
"27479084",218,2,63.73,4,146
"49553737",364,1,157.85,3,0
"121340",364,1,31.95,1,0
"39362066",67,2,41.9,2,297
"39545110",364,1,41.95,1,0
"36174078",364,1,76.85,2,0
"18606113",364,1,219.96,1,0
"43194179",364,1,134.7,2,0
"13875321",20,5,246.94,5,344
"48236657",9,4,262.5,4,355
"19567193",159,5,230.41,4,205
"41902023",364,1,29.95,1,0
"6995732",26,6,144.75,5,338
"6058568",346,2,30.92,2,18
"35343092",102,3,123.85,2,262
"4163241",364,1,123.95,1,0
"3803008",364,1,869.95,1,0
"21185708",320,3,280.78,4,44
"19194568",364,1,49.95,1,0
"21722469",364,1,87.3,1,0
"45797660",364,1,219.96,2,0
"22375882",224,5,132.75,5,140
"23779794",364,1,276.31,6,0
"5859064",364,1,119.95,1,0
"26897405",364,1,27.95,1,0
"19156093",364,1,29.95,1,0
"25668590",364,1,99.96,1,0
"23754608",364,1,97.95,1,0
"30659098",364,1,49.9,2,0
"28822375",364,1,128.85,2,0
"3039736",364,1,35.95,1,0
"1925766",364,1,39.9,1,0
"21524612",364,1,25.95,1,0
"18779348",348,2,307.9,2,16
"8382612",364,1,137.8,2,0
"37229742",364,1,79.9,1,0
"28700356",132,2,289.9,3,232
"33839384",364,1,51.12,1,0
"9002759",364,1,77.95,1,0
"27754188",200,8,310.2,8,164
"3954565",364,1,12.95,1,0
"21524928",364,1,99.95,1,0
"8389501",364,1,17.95,1,0
"27534781",11,9,649.01,10,353
"17490559",364,1,76.97,1,0
"32800235",364,1,19.95,1,0
"21739645",240,22,1165.9,17,124
"31312327",364,1,39.9,2,0
"46717780",156,2,36.9,2,208
"41569510",354,2,99.9,2,10
"31060270",364,1,59.85,1,0
"45766988",364,1,19.95,1,0
